Organization,Address,City,StateTerritory,Postal Code,Country
Baylor University,1301 S 2nd St,Waco,TX,76706,
Bucknell University,701 Moore Ave,Lewisburg,PA,17837,USA
Metropolitan New York Library Council,"57 East 11th St, Fourth Floor",New York,NY,10003,USA
McGill Library,3459 rue McTavish ,Montreal,Quebec,H3A 0C9 ,Canada
Furman University,3300 Poinsett Hwy,Greenville,SC,29613,USA
Stanford University,Cecil H. Green Library rm. 101,Stanford,CA,94305-6004,USA
Temple University,1210 Polett Walk,Philadelphia,PA,19122,USA
The George Washington University,"2130 H Street, NW",Washington,DC,20052,USA
University of British Columbia,1961 East Mall,Vancouver,BC,V6T 1Z1,Canada
"University of California, Irvine",P.O. Box 19557,Irvine,CA,92623-9557,USA
"University of California, San Diego",9500 Gilman Drive,La Jolla,CA,92093-0175,USA
University of Houston,114 University Libraries,Houston,TX,77204-2000,USA
University of Iowa,100 Main Library,Iowa City,IA,52242-1420,USA
University of Maryland at College Park,6131 McKeldin Library,College Park,MD,20742,USA
University of Michigan,320 Hatcher North,Ann Arbor,MI,48109-1190,USA
University of Nebraska-Lincoln,P.O. Box  884100,Lincoln,NE,68588-4100,USA
University of Notre Dame,221 Hesburgh Library,Notre Dame,IN,46556,USA
University of Southern California,3550  Trousdale Pkwy,Los Angeles,CA,90089-0182,USA
University of Texas at Austin,1 University Station,Austin,TX,78712,USA
University of Washington,Box 352900,Seattle,WA,98195-2900,USA
University of Wyoming,1000 E. University Avenue,Laramie,WY,82071-3334,USA
Yale University,120 High Street,New Haven,CT,06520-8240,USA
Lafayette College,710 Sullivan Street,Easton,PA,18042-1797,USA
Coalition for Networked Information,"21 Dupont Circle, NW",Washington,DC,20036,USA
Clemson University,Campus Box 34-3001,Clemson,SC,29634-3001,USA
Georgia Institute of Technology,704 Cherry Street,Atlanta,GA,30332-0001,USA
Los Alamos National Lab,MS P362,Los Alamos,NM,87545-1362,USA
Princeton Theological Seminary,25 Library Place,Princeton,NJ,08542,USA
University of Alabama,,Tuscaloosa,AL,35487,USA
"University of California, Riverside",900 University Ave,Riverside,CA,92521,USA
Bates College,2 Andrews Rd,Lewiston,ME,04240,USA
Reed College,3203 Southeast Woodstock Boulevard,Portland,OR,97202,USA
Washington University in St. Louis,1 Brookings Dr,St Louis,MO,63130,USA
West Virginia University,,Morgantown,WV,26506,USA
Washington and Lee University,204 W Washington St,Lexington,VA,24450,USA
Haverford College,370 W Lancaster Ave,Haverford,PA,19041,USA
Swarthmore College,500 College Avenue,Swarthmore,PA,19081,USA
Carnegie Mellon University,5000 Forbes Ave,Pittsburgh,PA,15213,USA
Vassar College,124 Raymond Ave,Poughkeepsie,NY,12604,USA
Trinity University,One Trinity Place,San Antonio ,TX,78212,USA
National Archives and Records Administration,700 Pennsylvania Avenue NW,Washington,DC,20408,USA
Duke University,,Durham,NC,27708,USA
Middle Tennessee State University,1301 E Main St,Murfreesboro,TN,37130,USA
Arizona State University,Hayden Library,Tempe,AZ,85287-1006,USA
Brown University,Brown University Library,Providence,RI,02912,USA
California Digital Library,415 20th Strret,Oakland,CA,94612-2901,USA
California Institute of Technology,1200 E. California Blvd.,Pasadena,CA,91125-3200,USA
Columbia University Libraries,535 West 114th Street,New York,NY,10027,USA
Cornell University,201 Olin Library,Ithaca,NY,14853,USA
Dartmouth College,Hinman Box 6025,Hanover,NH,03755-3525,USA
Emory University,540 Asbury Circle,Atlanta,GA,30322-2870,USA
Georgetown University,"37th and O Streets, NW",Washington,DC,20057-1174,USA
Harvard University,1341 Massachusetts Avenue,Cambridge,MA,02138,USA
Indiana University,1320 East 10th Street,Bloomington,IN,47405,USA
Johns Hopkins University,The Sheridan Libraries,Baltimore,MD,21218-2683,USA
Library of Congress,"101 Independence Ave.,SE",Washington,DC,20540-4000,USA
Massachusetts Institute of Technology,77 Massachusetts Avenue,Cambridge,MA,02139-4307,USA
Montana State University,PO Box 173320,Bozeman,MT,59717-3220,USA
National Library of Medicine,8600 Rockville Pike,Bethesda,MD,20894,USA
New York Public Library,11 West 40th Street,New York,NY,10018-2788,USA
New York University,70 Washington Square South,New York,NY,10012,USA
North Carolina State University,Box 7111,Raleigh,NC,27695-7111,USA
Northeastern University,320 Snell Library,Boston,MA,02115-5005,USA
Northwestern University,1970 Campus Drive,Evanston,IL,60208-2300,USA
Oregon State University,121 The Valley Library,Corvallis,OR,97331-4501,USA
Pennsylvania State University,510 Paterno Library,University Park,PA,16802,USA
Princeton University,One Washington Road,Princeton,NJ,08544-2002,USA
Purdue University,504 West State Street,West Lafayette,IN,47907-2058,USA
Rice University,Fondren Library MS-44,Houston,TX,77251-1892,USA
Smithsonian Institution,PO Box 37012,Washington,DC,20013-7012,USA
State University of New York at Albany,1400 Washington Avenue,Albany,NY,12222-0001,USA
Texas A&M University,5000 TAMU,College Station,TX,77843-5000,USA
The Ohio State University,1858 Neil Avenue Mall,Columbus,OH,43210,USA
University of Arizona,1510 East University,Tucson,AZ,85721-0055,USA
"University of California, Berkeley",255 Doe Library,Berkeley,CA,94720-6000,USA
"University of California, Los Angeles",Box 951575,Los Angeles,CA,90095-1575,USA
University of Chicago,1100 East 57th Street - Room 180,Chicago,IL,60637-1502,USA
University of Delaware,181 South College Avenue,Newark,DE,19717-5267,USA
University of Georgia,South Jackson Street,Athens,GA,30602,USA
University of Illinois at Urbana-Champaign,1408 West Gregory Drive,Urbana,IL,61801,USA
University of Kentucky,500 S.  Limestone St.,Lexington,KY,40506-0456,USA
University of Miami,1300 Memorial Drive,Coral Gables,FL,33146,USA
University of Minnesota,499 Wilson Library,Minneapolis,MN,55455,USA
University of North Carolina at Chapel Hill,Davis Library,Chapel Hill,NC,27514-8890,USA
University of North Texas,1155 Union Circle #305190,Denton,TX,76203-5017,USA
University of Pennsylvania,3420 Walnut Street,Philadelphia,PA,19104-6206,USA
University of Tennessee,1015 Volunteer Boulevard,Knoxville,TN,37996-1000,USA
University of Utah,295 South 1500 East,Salt Lake City,UT,84112-0860,USA
University of Virginia,Alderman Library,Charlottesville,VA,22904-4114,USA
University of Wisconsin-Madison,728 State Street,Madison,WI,53706,USA
Virginia Polytechnic Institute and State University,Drillfield Drive,Blacksburg,VA,24062-9001,USA
Bryn Mawr College,101 North Merion Avenue,Bryn Mawr,PA,19010-2899,USA
Rhodes College,2000 North Parkway,Memphis,TN,38112,USA
Biblioteca Alexandrina,P.O. Box 138,"Chatby, Alexandria",21526,,Egypt
Florida State University,116 Honors Way,Tallahassee,FL,32306,USA
OCLC Research Library Partnership,6565 Kilgour Place,Dublin,OH,43107-3395,USA
Colgate University,13 Oak Dr,Hamilton,NY,13346,USA
California State University Channel Islands,1 University Dr,Camarillo,CA,93012,USA
Getty Research Institute,1200 Getty Center Dr ,Los Angeles,CA,90049,USA
McMaster University,1280 Main St W,Hamilton,ON,ON L8S 4L8,Canada
University of Texas at Arlington,Box 19497,Arlington,TX,76019,USA
Atlanta University Center Woodruff Library,111 Brawley Dr,Atlanta,GA,30314,USA
"University of California, Davis",1 Shields Ave,Davis,CA,95616,USA
Colby College,4000 Mayflower Hill Dr,Waterville,ME,04901,USA
Georgia State University,,Atlanta,GA,30302,USA
Whitman College,345 Boyer Avenue,Walla Walla,WA,99362,USA
Kenyon College,103 College Drive,Gambier,OH,43022,
The Claremont Colleges Library,800 North Dartmouth Ave,Claremont,CA,91711,USA
Mount Holyoke College,50 College St,South Hadley,MA,01075,USA
University of San Francisco,2130 Fulton St,San Francisco,CA,94117,USA
Iowa State University,Osborn Dr. & Morrill Rd.,Ames,IA,50011,USA
DePauw University,,Greencastle,IN,46135,USA
Amherst College,,Amherst,MA,01002,
Macalester College,1600 Grand Ave,St. Paul,MN,55116,USA
Stony Brook University Libraries,,Stony Brook,NY,11794,
"University of California, Santa Barbara",552 University Road,Santa Barbara,CA,93106,
University of Arkansas,365 N. McIlroy Ave.,Fayetteville,AR,72701,USA
St. Olaf College,520 St. Olaf Avenue,Northfield,MN,55057,
Middlebury College,110 Storrs Ave,Middlebury,VT,05753,